Name,Description
finetype,"Semantic type classification — detects 250 data types (emails, URLs, dates, UUIDs, currencies, etc.) from raw strings"
fire_duck_ext,Query Google Cloud Firestore directly from DuckDB using SQL
fit,"Read Garmin .fit files using DuckDB - GPS tracks, heart rate, power metrics, and fitness device data"
fivetran,Fivetran community extension.
flock,LLM & RAG extension to combine analytics and semantic analysis
fsquery,Query filesystem metadata using SQL with recursive directory traversal
func_apply,Dynamic function invocation - call any scalar function or macro by name at runtime
fuzzycomplete,Fuzzy matching based autocompletion
gaggle,A DuckDB extension for working with Kaggle datasets
gcs,DuckDB GCS Extension
gdx,Read GAMS GDX files directly into DuckDB
geography,Global spatial data processing on the sphere
geosilo,Compact geometry encoding using delta-encoded coordinates. Achieves 3-4x smaller geometry storage and wire transfer compared to WKB.
geotiff,"Read GeoTIFF rasters as (cell_id, value) via GDAL"
gh,Experimental gh:// filesystem support
gsheets,Read and write Google Sheets using SQL
h3,Hierarchical hexagonal indexing for geospatial data
h5db,Read HDF5 datasets and attributes
hashfuncs,"Non-cryptographic hash functions, xxHash, rapidhash and Murmurhash3"
hdf5,Read HDF5 files from DuckDB
hedged_request_fs,Provides hedged request for filesystem operations
highs,HiGHS - High Performance Optimization Software
hive_metastore,"Connect to your Hive Metastore, attach it as a native DuckDB catalog and query the data inside with ease!"
hnsw_acorn,"HNSW vector search with ACORN-1 filtered search, RaBitQ quantization, metadata joins, and grouped nearest neighbors"
hostfs,Navigate and explore the filesystem using SQL
html_query,"Query HTML using CSS selectors, extract JSON from LD+JSON, JavaScript variables, and Next.js RSC"
html_readability,"Extract readable content from HTML using Mozilla's Readability algorithm"
http_client,DuckDB HTTP Client Extension
http_request,HTTP client extension for DuckDB with GET/POST/PUT/PATCH/DELETE and byte-range requests
http_stats,Better HTTP statistics for DuckDB
httpd_log,Reads and parses Apache HTTP server log files
httpfs_timeout_retry,Add per-operation timeout and retry for httpfs extension
httpserver,DuckDB HTTP API Server Extension
infera,A DuckDB extension for in-database inference
inflector,Powerful string case transformation and inflection capabilities directly to your SQL queries.
ion,Read AWS Ion data and write Ion text or binary with typed mappings
json_schema,Adds support for validating JSON data with JSON schemas.
jsonata,"The JSONata extension for DuckDB enables expressive, JSON-focused querying and transformation directly within SQL using the powerful JSONata expression language."
jwt,Decode and work with JWT (JSON Web Token) in SQL queries
keboola,"DuckDB extension for Keboola Storage — query and write Keboola tables using standard SQL"
lastra,Reader for the Lastra columnar time-series format
latency_injection_fs,Used to inject simulated latency to filesystem operations
level_pivot,Storage extension wrapping LevelDB with pivot semantics for structured relational tables over key-value pairs
lindel,"Linearization/Delinearization, Z-Order, Hilbert and Morton Curves"
llm,"Call LLM APIs (OpenAI, Gemini, Cloudflare) directly from SQL with structured output support."
lsh,Extension for locality-sensitive hashing (LSH)
lua,Evaluate Lua scripts within queries
magic,libmagic/file utilities ported to DuckDB
marisa,"Adds MARISA (Matching Algorithm with Recursively Implemented StorAge) trie functionality for DuckDB. MARISA is a static and space-efficient trie data structure that enables fast string lookups, prefix searches, and predictive text operations."
markdown,"Read, analyze, and write Markdown files with block-level document representation and inline element support"
maxmind,"Read MaxMind databases (GeoLite, GeoIP, and more)"
miint,"Bioinformatics extension for microbiome research - read/write FASTQ, SAM/BAM, BIOM, GFF, Newick trees, query NCBI, and more."
minijinja,"Adds templating to DuckDB, enabling dynamic generation of text, HTML, and reports directly within SQL queries using the MiniJinja engine."
miniplot,Interactive chart visualization for DuckDB - faster than pandas with Plotly-like charts
mlpack,Connecting duckdb to the mlpack C++ machine learning library
monetary,"Currency-aware monetary values with parsing, arithmetic, and real-time exchange rates"
mongo,"Integrates DuckDB with MongoDB, enabling direct SQL queries over MongoDB collections without exporting data or ETL"
mooncake,Read Iceberg tables written by moonlink in real time
mpduck,"Read and write FIS Prophet files (.rpt, .prn, .fac)"
msolap,Extension that allows DuckDB to connect to Microsoft SQL Server Analysis Services (SSAS) and other OLAP data sources using the MSOLAP provider
mssql,Connect DuckDB to Microsoft SQL Server via native TDS protocol
nanoarrow,"Allows the consumption and production of the Apache Arrow interprocess communication (IPC) format, both from files and directly from stream buffers."
nanodbc,Connect to any ODBC-compatible database and query data directly from DuckDB
nats_js,Query NATS JetStream message streams directly with SQL
netquack,"DuckDB extension for parsing, extracting, and analyzing domains, URIs, and paths with ease."
nsv,Read and write NSV (Newline-Separated Values) files
oast,"Validate, decode, and extract OAST (Out-of-Band Application Security Testing) domains in SQL"
observefs,Provides IO observability to filesystem
ofquack,The Ofquack extension provides seamless integration between DuckDB and Oracle Fusion via WSDL-based SOAP calls.
onager,A DuckDB extension for graph data analytics
onelake,"This extension allows you to connect DuckDB to Microsoft Fabric OneLake workspaces and lakehouses, enabling you to query data stored in OneLake directly from DuckDB."
open_prompt,Interact with LLMs with a simple DuckDB Extension
osmium,Read OpenStreetMap data from OSM XML and PBF files
otlp,"Read OpenTelemetry metrics, logs and traces from JSON or protobuf with a ClickHouse-inspired schema"
overture,"Overture Maps helpers for DuckDB - geocoding, category normalization, spatial tiling, and reader macros for places, buildings, roads, and addresses"
pac,Automatic query privatization using the PAC Privacy framework
paimon,Query Apache Paimon tables directly from DuckDB
parser_tools,"Exposes functions for parsing referenced tables and usage context from SQL queries using DuckDB's native parser."
pbix,Extension that allows parsing the data model embedded in PowerBI (pbix) files
pcap_reader,Read PCAP files from DuckDB
pdal,Extension that adds support for manipulating point cloud data using SQL.
pfc,Read PFC-JSONL compressed log files directly in DuckDB with block-level timestamp filtering
pivot_table,Provides a spreadsheet-style pivot_table function
plinking_duck,Read PLINK 2 genomics file formats and run common genetic analyses directly in SQL
poached,"SQL parsing and introspection for IDEs, editors, and developer tools"
polyglot,Transpile SQL from 34 different dialects into DuckDB SQL
prql,"Support for PRQL, the Pipelined Relational Query Language"
psql,"Support for PSQL, a piped SQL dialect for DuckDB"
pst,"Read Microsoft PST files with rich schemas for common MAPI types (emails, contacts, appointments, tasks)"
psyduck,Pokemon data native in DuckDB
pyroscope,DuckDB Pyroscope Extension for Continuous Profiling
quack,Provides a hello world example demo
quackfix,"Allows the consumption FIX protocol format logs, from all supported duckdb filesystems."
quackformers,Bert-based embedding extension.
quackstats,Time series forecasting and statistics for DuckDB
quackstore,QuackStore - Smart Block-Based Caching for Remote Files. Speed up repeated queries on remote data with intelligent block-level caching.
query_condition_cache,"This extension provides a cache for query conditions, which is useful for repeated-query workloads like metrics monitoring dashboards, log investigations, etc."
quickjs,DuckDB QuickJS Runtime Extension
radio,Allow interaction with event buses like Websocket and Redis publish/subscribe servers.
rapidfuzz,"Provides adds high-performance fuzzy string matching functions, powered by the RapidFuzz C++ library."
raquet,"Raster analytics on Raquet files with QUADBIN spatial indexing, raster ingestion, and PostGIS-style functions"
raster,DuckDB Extension for reading and writing raster files using SQL.
rate_limit_fs,Perform rate and burst limit on filesystem operations
rdf,A DuckDB extension to read and write RDF
read_dbf,Read DBF (dBase) files with support for general DBF formats and field types.
read_lines,"Read line-based text files with line numbers and efficient subset extraction. Supports glob patterns, line selection, and context lines around matches."
read_stat,"Read data sets from SAS, Stata, and SPSS with ReadStat"
redis,Redis compatible Client for DuckDB
rusty_quack,Provides a hello world example demo from the Rust-based extension template
rusty_sheet,An Excel/WPS/OpenDocument Spreadsheets file reader for DuckDB
sazgar,"System monitoring & SQL query routing for DuckDB - 25+ table functions for CPU, memory, disk, network, processes, Docker, GPU. Execute queries on remote databases via PostgreSQL wire protocol with SQLGlot dialect translation (PostgreSQL, MySQL, ClickHouse, Snowflake, BigQuery)."
scalarfs,A collection of virtual filesystems for working with scalars
scrooge,"Provides functionality for financial data-analysis, including data scanners for the Ethereum Blockchain and Yahoo Finance"
se3,Provides SE(3) rigid transformations (combinations of rotations and translations in 3D) as DuckDB scalar functions.
semantic_views,"Semantic views -- a declarative layer for dimensions, metrics, and relationships"
sheetreader,Fast XLSX file importer
shellfs,Allow shell commands to be used for input and output
sistat,"Query Slovenia's SiStat (SURS PX-Web API) open data directly from DuckDB with SQL."
sitemap,Parse XML sitemaps from websites with automatic discovery via robots.txt
sitting_duck,"Parse and analyze source code ASTs from 27 programming languages with tree-sitter grammars, pattern matching, and structural search"
duckdb_slack,Search Slack messages directly from DuckDB
snowflake,Snowflake data source extension - query Snowflake databases directly from DuckDB
splink_udfs,"Phonetic, text normalization and address matching functions for record linkage."
spxlsx,Query SharePoint lists and Excel workbooks directly from DuckDB
sshfs,Allows reading and writing files over SSH
st_read_multi,Read multiple geospatial files
stochastic,"Add comprehensive statistical distribution functions to DuckDB, enabling advanced statistical analysis, probability calculations, and random sampling directly within SQL queries."
substrait,Allows conversion execution of Substrait query plans
sudan,"Unified SQL access to Sudan's humanitarian, development, and geospatial data from 5 international APIs (World Bank, WHO, FAO, UNHCR, ILO)"
system_stats,Provides table functions to access system-level statistics for monitoring purpose
table_inspector,"Observability into DuckDB storage internals at the database, table, and column levels"
talib,Technical Analysis Library (TA-Lib) functions for DuckDB -- 100+ indicators for financial market analysis
tarfs,"glob, open and read files within `.tar` archives"
tera,"Adds templating to DuckDB, enabling dynamic generation of text, HTML, and reports directly within SQL queries using the Tera engine."
textplot,"Enables text-based data visualization directly in SQL queries, including ASCII/Unicode bar charts, density plots, and sparklines for lightweight analytics and dashboards."
title_mapper,Efficiently standardizes scraped job titles to Bureau of Labor Statistics (BLS) titles using a high-performance TF-IDF algorithm.
tributary,Enable DuckDB to interact with Apache Kafka
tsid,DuckDB Time-Sortable ID generator
ulid,ULID data type for DuckDB
urlpattern,WHATWG URLPattern API for matching and extracting components from URLs using pattern syntax
us_address_standardizer,US address parsing and standardization (PAGC + Rust addrust)
valhalla_routing,DuckDB extension for routing and travel time calculations using Valhalla routing engine
warc,Parse WARC (Web ARChive) records for Common Crawl data processing
web_archive,Query Common Crawl and Wayback Machine web archive CDX APIs directly from SQL
web_search,Query Google Custom Search API directly from SQL with filter pushdowns
webbed,"Comprehensive processing extension for web markup languages (XML and HTML) with SAX streaming for large files, intelligent schema inference, XPath-based data extraction, and HTML table parsing."
webdavfs,Allows reading and writing files over WebDAV protocol
webmacro,Load DuckDB Macros from the web
whisper,"Speech-to-text transcription using whisper.cpp, OpenAI's Whisper model"
wireduck,Read and dissect PCAP files from DuckDB
yaml,"Read YAML files into DuckDB with native YAML type support, comprehensive extraction functions, and seamless JSON interoperability"
yardstick,"Measure-aware SQL implementing Julian Hyde's 'Measures in SQL' paper"
zeek,Read Zeek network security monitor log files with automatic schema detection and type-aware parsing
zipfs,Read files within zip archives
